"title","average_rating","director","writer","metascore","cast","release_date","country_of_origin","languages","budget","worldwide_gross","runtime","first_released"
"End of Watch","7.6","David Ayer","David Ayer","68","Jake Gyllenhaal, Michael Peña, Anna Kendrick, America Ferrera, Natalie Martinez, David Harbour, Frank Grillo, Cle Sloan, Jaime FitzSimons, Cody Horn, Shondrella Avery, Everton Lawrence, Leequwid 'Devil' Wilkens, James 'Pistol' McNeal, Zone, Alvin Norman, Richard Cabral, Diamonique","2013-01-25","United States, United Kingdom","English, Spanish","7000000","55078146","1 hour 49 minutes","India"
"Match Point","7.6","Woody Allen","Woody Allen","72","Scarlett Johansson, Jonathan Rhys Meyers, Emily Mortimer, Matthew Goode, Alexander Armstrong, Paul Kaye, Brian Cox, Penelope Wilton, Janis Kelly, Alan Oke, Mark Gatiss, Philip Mansfield, Simon Kunz, Geoffrey Streatfeild, Mary Hegarty, John Fortune, Rupert Penry-Jones, Patricia Whymark","2006-01-06","United Kingdom, Luxembourg, United States","English","15000000","85638656","2 hours 4 minutes","United Kingdom"
"Guillermo Del Toro's Pinocchio","7.6","Guillermo del Toro, Mark Gustafson","Guillermo del Toro, Patrick McHale, Carlo Collodi","79","Ewan McGregor, David Bradley, Gregory Mann, Burn Gorman, Ron Perlman, John Turturro, Finn Wolfhard, Cate Blanchett, Tim Blake Nelson, Christoph Waltz, Tilda Swinton, Tom Kenny, Alfie Tempest, Anthea Greco, Francesca Fanti, Sandro Carotti, Rio Mangini, Benjamin Valic","2022-12-09","United States, Mexico, France","English, Italian","35000000","109846","1 hour 57 minutes","India"
"Rise of the Planet of the Apes","7.6","Rupert Wyatt","Rick Jaffa, Amanda Silver, Pierre Boulle","68","James Franco, Andy Serkis, Freida Pinto, Karin Konoval, Terry Notary, Richard Ridings, Christopher Gordon, Devyn Dalton, Jay Caputo, John Lithgow, Brian Cox, Tom Felton, David Oyelowo, Tyler Labine, Jamie Harris, Ty Olsson, David Hewlett, Joey Roche","2011-08-05","United States, United Kingdom","English, Sign Languages","93000000","481800873","1 hour 45 minutes","India"
"Rushmore","7.6","Wes Anderson","Wes Anderson, Owen Wilson","87","Jason Schwartzman, Bill Murray, Olivia Williams, Seymour Cassel, Brian Cox, Mason Gamble, Sara Tanaka, Stephen McCole, Connie Nielsen, Luke Wilson, Dipak Pallana, Andrew Wilson, Marietta Marich, Ronnie McCawley, Keith McCawley, Hae-Joon Lee, Adebayo Asabi, Al Fielder","1999-02-19","United States","English, Spanish, Latin, French","9000000","17198495","1 hour 33 minutes","United States"
"Only the Brave","7.6","Joseph Kosinski","Sean Flynn, Ken Nolan, Eric Warren Singer","72","Josh Brolin, Miles Teller, Jeff Bridges, Jennifer Connelly, James Badge Dale, Taylor Kitsch, Andie MacDowell, Geoff Stults, Alex Russell, Thad Luckinbill, Ben Hardy, Scott Haze, Jake Picking, Scott Foxx, Dylan Kenin, Ryan Michael Busch, Kenneth Miller, Ryan Jason Cook","2021-07-28","United States","English","38000000","26351322","2 hours 14 minutes","India"
"Dawn of the Planet of the Apes","7.6","Matt Reeves","Mark Bomback, Rick Jaffa, Amanda Silver","79","Gary Oldman, Keri Russell, Andy Serkis, Kodi Smit-McPhee, Jason Clarke, Toby Kebbell, Kirk Acevedo, Nick Thurston, Terry Notary, Karin Konoval, Judy Greer, Jon Eyez, Enrique Murciano, Larramie Doc Shaw, Lee Ross, Keir O'Donnell, Kevin Rankin, Jocko Sims","2014-07-11","United States, United Kingdom, Canada","English, American Sign Language","170000000","710644566","2 hours 10 minutes","India"
"The Royal Tenenbaums","7.6","Wes Anderson","Wes Anderson, Owen Wilson","76","Gene Hackman, Gwyneth Paltrow, Anjelica Huston, Ben Stiller, Luke Wilson, Owen Wilson, Bill Murray, Danny Glover, Seymour Cassel, Kumar Pallana, Alec Baldwin, Grant Rosenmeyer, Jonah Meyerson, Aram Aslanian-Persico, Irina Gorovaia, Arianna Turturro, Stephen Lea Sheppard, James Fitzgerald","2002-01-04","United States","English, Italian","21000000","71442210","1 hour 50 minutes","United States"
"The Hurricane","7.6","Norman Jewison","Rubin 'Hurricane' Carter, Sam Chaiton, Terry Swinton","74","Denzel Washington, Vicellous Shannon, Deborah Kara Unger, Liev Schreiber, John Hannah, Dan Hedaya, Debbi Morgan, Clancy Brown, David Paymer, Harris Yulin, Rod Steiger, Badja Djola, Vincent Pastore, Al Waxman, David Lansbury, Garland Whitt, Chuck Cooper, Brenda Denmark","2000-10-13","United States","English","50000000","73956241","2 hours 26 minutes","India"
"Just Mercy","7.6","Destin Daniel Cretton","Destin Daniel Cretton, Andrew Lanham, Bryan Stevenson","68","Michael B. Jordan, Jamie Foxx, Brie Larson, Charlie Pye Jr., Michael Harding, Christopher Wolfe, J. Alphonse Nicholson, Adam Boyer, Jacinte Blankenship, Bryan G. Stevenson, Brad Sanders, Charmin Lee, Sebastian Hansen, John Lacy, Dominic Bogart, Hayes Mercure, Rob Morgan, David Garlock","2020-01-17","United States","English","25000000","50901502","2 hours 17 minutes","India"
"Enter the Dragon","7.6","Robert Clouse","Michael Allin, Bruce Lee","83","Bruce Lee, John Saxon, Jim Kelly, Ahna Capri, Kien Shih, Robert Wall, Angela Mao, Betty Chung, Geoffrey Weeks, Bolo Yeung, Peter Archer, Li-Jen Ho, Marlene Clark, Allan Kent, Bill Keller, Mickey Caruso, Pat E. Johnson, Darnell Garcia","1973-08-19","Hong Kong, United States","English, Cantonese","850000","115762","1 hour 42 minutes","United States"
"From Here to Eternity","7.6","Fred Zinnemann","Daniel Taradash, James Jones","85","Burt Lancaster, Montgomery Clift, Deborah Kerr, Donna Reed, Frank Sinatra, Philip Ober, Mickey Shaughnessy, Harry Bellaver, Ernest Borgnine, Jack Warden, John Dennis, Merle Travis, Tim Ryan, Arthur Keegan, Barbara Morrison, Claude Akins, Vicki Bakken, Margaret Barstow","1953-12-30","United States","English","1650000","36416","1 hour 58 minutes","India"
"Searching","7.6","Aneesh Chaganty","Aneesh Chaganty, Sev Ohanian","71","John Cho, Debra Messing, Joseph Lee, Michelle La, Sara Sohn, Alex Jayne Go, Megan Liu, Kya Dawn Lau, Dominic Hoffman, Sylvia Minassian, Melissa Disney, Connor McRaith, Colin Woodell, Joseph John Schirle, Ashley Edner, Courtney Lauren Cummings, Kenneth Mosley, Miss Benny","2018-08-31","United States, Russia","English","880000","75462037","1 hour 42 minutes","India"
"Gettysburg","7.6","Ron Maxwell","Michael Shaara, Ron Maxwell",\N,"Tom Berenger, Martin Sheen, Stephen Lang, Richard Jordan, Andrew Prine, Cooper Huckabee, Patrick Gorman, Bo Brinkman, James Lancaster, William Morgan Sheppard, Kieran Mulroney, James Patrick Stuart, Tim Ruddy, Royce D. Applegate, Ivan Kane, Warren Burton, MacIntyre Dixon, Joseph Fuqua","1993-10-08","United States","English","25000000","10769960","4 hours 31 minutes","United States"
"Escape from Alcatraz","7.6","Don Siegel","J. Campbell Bruce, Richard Tuggle","76","Clint Eastwood, Patrick McGoohan, Roberts Blossom, Jack Thibeau, Fred Ward, Paul Benjamin, Larry Hankin, Bruce M. Fischer, Frank Ronzio, Fred Stuthman, David Cryer, Madison Arnold, Blair Burrows, Bob Balhatchet, Matthew Locricchio, Don Michaelian, Ray K. Goman, Jason Ronard","2020-03-31","United States","English","8000000","43005351","1 hour 52 minutes","India"
"Freedom Writers","7.6","Richard LaGravenese","Richard LaGravenese, Freedom Writers, Erin Gruwell","64","Hilary Swank, Imelda Staunton, Patrick Dempsey, Scott Glenn, April Hernandez Castillo, Mario, Kristin Herrera, Jaclyn Ngan, Sergio Montalvo, Jason Finn, Deance Wyatt, Vanetta Smith, Gabriel Chavarria, Hunter Parrish, Antonio García, Giovonnie Samuels, John Benjamin Hickey, Robert Wisdom","2007-01-05","Germany, United States","English, Spanish","21000000","43095175","2 hours 3 minutes","United States"
"Barton Fink","7.6","Joel Coen, Ethan Coen","Joel Coen, Ethan Coen","69","John Turturro, John Goodman, Judy Davis, Michael Lerner, John Mahoney, Tony Shalhoub, Jon Polito, Steve Buscemi, David Warrilow, Richard Portnow, Christopher Murney, I.M. Hobson, Meagen Fay, Lance Davis, Harry Bugin, Anthony Gordon, Jack Denbo, Max Grodénchik","1991-08-21","United Kingdom, United States","English","9000000","6154106","1 hour 56 minutes","United States"
"The Last King of Scotland","7.6","Kevin Macdonald","Peter Morgan, Jeremy Brock, Giles Foden","74","James McAvoy, Forest Whitaker, Gillian Anderson, Kerry Washington, Simon McBurney, David Oyelowo, Stephen Rwangyezi, Abby Mukiibi Nkaaga, Adam Kotz, Sam Okelo, Sarah Nagayi, Chris Wilson, Dick Stockley, Barbara Rafferty, David Ashton, Daniel Ssettaba, Apollo Okwenje Omamo, Louis Asea","2013-09-06","United Kingdom, Germany, United States","English, French, German, Swahili","6000000","48618191","2 hours 3 minutes","India"
"A Little Princess","7.6","Alfonso Cuarón","Frances Hodgson Burnett, Richard LaGravenese, Elizabeth Chandler","83","Liesel Matthews, Eleanor Bron, Liam Cunningham, Rusty Schwimmer, Arthur Malet, Vanessa Chester, Errol Sitahal, Heather DeLoach, Taylor Fry, Darcie Bradford, Rachael Bella, Alexandra Rea-Baum, Camilla Belle, Lauren Blumenfeld, Kelsey Mulrooney, Kaitlin Cullum, Alison Moir, Time Winters","1995-05-19","United States","English, French","17000000","10015449","1 hour 37 minutes","United States"
"Kelly's Heroes","7.6","Brian G. Hutton","Troy Kennedy Martin","50","Clint Eastwood, Telly Savalas, Don Rickles, Carroll O'Connor, Donald Sutherland, Gavin MacLeod, Hal Buckley, Stuart Margolin, Jeff Morris, Richard Davalos, Perry Lopez, Tom Troupe, Harry Dean Stanton, Dick Balduzzi, Gene Collins, Len Lesser, David Hurst, Fred Pearlman","1970-06-23","Yugoslavia, United States","English, French, German","4000000","5200000","2 hours 24 minutes","United States"
"50/50","7.6","Jonathan Levine","Will Reiser","72","Joseph Gordon-Levitt, Seth Rogen, Anna Kendrick, Bryce Dallas Howard, Anjelica Huston, Serge Houde, Andrew Airlie, Matt Frewer, Philip Baker Hall, Donna Yamamoto, Sugar Lyn Beard, Yee Jee Tso, Sarah Smyth, Peter Kelamis, Jessica Parker Kennedy, Daniel Bacon, P. Lynn Johnson, Laura Bertram","2019-08-07","United States","English","8000000","41097853","1 hour 40 minutes","India"
"Sacrifice","7.6","Clint Eastwood","Richard LaGravenese, Robert James Waller","69","Clint Eastwood, Meryl Streep, Annie Corley, Victor Slezak, Jim Haynie, Sarah Zahn, Christopher Kroon, Phyllis Lyons, Debra Monk, Richard Lage, Michelle Benes, Alison Wiegert, Brandon Bobst, Pearl Faessler, R.E. 'Stick' Faessler, Tania Burt, Billie McNabb, Art Breese","1995-06-02","United States","English","24000000","182016617","2 hours 15 minutes","United States"
"Karigurashi No Arietty","7.6","Hiromasa Yonebayashi","Mary Norton, Hayao Miyazaki, Keiko Niwa","80","Bridgit Mendler, Amy Poehler, Will Arnett, Mirai Shida, Ryunosuke Kamiki, Tatsuya Fujiwara, Tomokazu Miura, Shinobu Ôtake, Keiko Takeshita, Kirin Kiki, Shin'ichi Hatori, Carol Burnett, David Henrie, Gracie Moore, Moises Arias, Peter Jason, Frank Marshall, Karey Kirkpatrick","2010-07-17","Japan, France, United States","Japanese","23000000","149660003","1 hour 34 minutes","Japan"
"Seven Pounds","7.6","Gabriele Muccino","Grant Nieporte","36","Will Smith, Rosario Dawson, Woody Harrelson, Michael Ealy, Barry Pepper, Elpidia Carrillo, Robinne Lee, Joe Nunez, Bill Smitrovich, Tim Kelleher, Gina Hecht, Andy Milder, Judyann Elder, Sarah Jane Morris, Madison Pettis, Ivan Angulo, Octavia Spencer, Cynthia Rube","2009-02-13","United States","English, Spanish","55000000","169748929","2 hours 3 minutes","India"
"Where Eagles Dare","7.6","Brian G. Hutton","Alistair MacLean","63","Richard Burton, Clint Eastwood, Mary Ure, Patrick Wymark, Michael Hordern, Donald Houston, Peter Barkworth, William Squire, Robert Beatty, Brook Williams, Neil McCarthy, Vincent Ball, Anton Diffring, Ferdy Mayne, Derren Nesbitt, Victor Beaumont, Ingrid Pitt, Chris Adcock","1969-03-12","United States, United Kingdom","English, German","7700000","7100435","2 hours 38 minutes","United States"
"21 Grams","7.6","Alejandro G. Iñárritu","Guillermo Arriaga","70","Sean Penn, Benicio Del Toro, Naomi Watts, Danny Huston, Carly Nahon, Claire Pakis, Nick Nichols, Charlotte Gainsbourg, John Rubinstein, Eddie Marsan, Loyd Keith Salter, Antef A. Harris, Melissa Leo, Marc Musso, Teresa Delgado, Trent Dee, Tony Guyton, Wayne E. Beech Jr.","2022-04-01","United States","English","20000000","60466876","2 hours 4 minutes","India"
"Rebel Without a Cause","7.6","Nicholas Ray","Stewart Stern, Irving Shulman, Nicholas Ray","89","James Dean, Natalie Wood, Sal Mineo, Jim Backus, Ann Doran, Corey Allen, William Hopper, Rochelle Hudson, Dennis Hopper, Edward Platt, Steffi Sidney, Marietta Canty, Virginia Brissac, Beverly Long, Ian Wolfe, Frank Mazzola, Robert Foulk, Jack Simmons","1955-10-27","United States","English","1500000","217945","1 hour 51 minutes","United States"
"Star Trek: First Contact","7.6","Jonathan Frakes","Gene Roddenberry, Rick Berman, Brannon Braga","70","Patrick Stewart, Jonathan Frakes, Brent Spiner, LeVar Burton, Michael Dorn, Gates McFadden, Marina Sirtis, Alfre Woodard, James Cromwell, Alice Krige, Michael Horton, Neal McDonough, Marnie McPhail, Robert Picardo, Dwight Schultz, Adam Scott, Jack Shearer, Eric Steinberg","1996-11-22","United States","English","45000000","146027888","1 hour 51 minutes","United States"
"Philomena","7.6","Stephen Frears","Steve Coogan, Jeff Pope, Martin Sixsmith","77","Judi Dench, Steve Coogan, Sophie Kennedy Clark, Mare Winningham, Barbara Jefford, Ruth McCabe, Peter Hermann, Sean Mahon, Anna Maxwell Martin, Michelle Fairley, Wunmi Mosaku, Amy McAllister, Charlie Murphy, Cathy Belton, Kate Fleetwood, Charissa Shearer, Nika McGuigan, Rachel Wilcock","2013-11-01","United Kingdom, France, United States","English","12000000","100129872","1 hour 38 minutes","United Kingdom"
"Hotel Mumbai","7.6","Anthony Maras","John Collee, Anthony Maras","62","Dev Patel, Armie Hammer, Nazanin Boniadi, Anupam Kher, Amandeep Singh, Suhail Nayyar, Manoj Mehra, Dinesh Kumar, Amritpal Singh, Kapil Kumar Netra, Adithi Kalkunte, Alex Pinder, Vipin Sharma, Tilda Cobham-Hervey, Jason Isaacs, Gaurav Paswala, Natasha Liu Bordizzo, Angus McLaren","2019-11-29","Australia, United States, United Kingdom, Singapore, India","Hindi, English","17300000","21315827","2 hours 3 minutes","India"
"Giant","7.6","George Stevens","Edna Ferber, Fred Guiol, Ivan Moffat","84","Elizabeth Taylor, Rock Hudson, James Dean, Carroll Baker, Jane Withers, Chill Wills, Mercedes McCambridge, Dennis Hopper, Sal Mineo, Rod Taylor, Judith Evelyn, Earl Holliman, Robert Nichols, Paul Fix, Alexander Scourby, Fran Bennett, Charles Watts, Elsa Cárdenas","1956-11-24","United States","English, Spanish","5400000","32857066","3 hours 21 minutes","United States"
"Walkabout","7.6","Nicolas Roeg","Edward Bond, Donald G. Payne, Nicolas Roeg","85","Jenny Agutter, David Gulpilil, Luc Roeg, John Meillon, Robert McDarra, Peter Carver, John Illingsworth, Hilary Bamberger, Barry Donnelly, Noeline Brown, Carlo Manchini, George Roubicek","1971-07-01","United Kingdom, Australia, United States","English, Aboriginal, Czech, French","1000000","1888","1 hour 40 minutes","United States"
"Sabrina","7.6","Billy Wilder","Billy Wilder, Samuel A. Taylor, Ernest Lehman","72","Humphrey Bogart, Audrey Hepburn, William Holden, Walter Hampden, John Williams, Martha Hyer, Joan Vohs, Marcel Dalio, Marcel Hillaire, Nella Walker, Francis X. Bushman, Ellen Corby, David Ahdar, Raymond Bailey, Brooks Benedict, Marjorie Bennett, Lovyss Bradley, Ralph Brooks","1954-11-09","United States","English, French","2238813","2356","1 hour 53 minutes","India"
"The Kite Runner","7.6","Marc Forster","David Benioff, Khaled Hosseini","61","Khalid Abdalla, Ahmad Khan Mahmoodzada, Atossa Leoni, Shaun Toub, Sayed Jafar Masihullah Gharibzada, Zekeria Ebrahimi, Mir Mahmood Shah Hashimi, Homayoun Ershadi, Nabi Tanha, Elham Ehsas, Bahram Ehsas, Tamim Nawabi, Mohamad Nabi Attai, Mohamad Nadir Sarwari, Mustafa Haidari, Ahmad Yasar Shir Agha, Mohammad Aman Joya, Abdul Azim Wahabzada","2020-10-21","United Kingdom, China, United States","Dari, English, Pashtu, Russian, Urdu, Arabic","20000000","75011029","2 hours 8 minutes","India"
"The Two Popes","7.6","Fernando Meirelles","Anthony McCarten","75","Jonathan Pryce, Anthony Hopkins, Juan Minujín, Luis Gnecco, Cristina Banegas, María Ucedo, Renato Scarpa, Sidney Cole, Achille Brugnini, Federico Torre, Germán De Silva, Lisandro Fiks, Libero De Rienzo, Willie Jonah, Sofia Cessak, Vincent Riotta, Daphne Mereu, Martina Sammarco","2019-12-20","United Kingdom, Italy, United States","English, Spanish, Italian, Latin, Portuguese, French, German","40000000","243711","2 hours 5 minutes","United Kingdom"
"Shane","7.6","George Stevens","A.B. Guthrie Jr., Jack Sher, Jack Schaefer","85","Alan Ladd, Jean Arthur, Van Heflin, Brandon De Wilde, Jack Palance, Ben Johnson, Edgar Buchanan, Emile Meyer, Elisha Cook Jr., Douglas Spencer, John Dierkes, Ellen Corby, Paul McVey, John Miller, Edith Evanson, Leonard Strong, Ray Spiker, Janice Carroll","1953-08-14","United States","English","3100000","21412","1 hour 58 minutes","Canada"
"Nashville","7.6","Robert Altman","Joan Tewkesbury","96","Keith Carradine, Karen Black, Ronee Blakley, Shelley Duvall, David Arkin, Barbara Baxley, Ned Beatty, Timothy Brown, Geraldine Chaplin, Robert DoQui, Allen Garfield, Henry Gibson, Scott Glenn, Jeff Goldblum, Barbara Harris, David Hayward, Michael Murphy, Allan F. Nicholls",\N,"United States","English","2200000","9994006","2 hours 40 minutes","Canada"
"The Taking of Pelham One Two Three","7.6","Joseph Sargent","John Godey, Peter Stone","68","Walter Matthau, Robert Shaw, Martin Balsam, Hector Elizondo, Earl Hindman, James Broderick, Dick O'Neill, Lee Wallace, Tom Pedi, Beatrice Winde, Jerry Stiller, Nathan George, Rudy Bond, Kenneth McMillan, Doris Roberts, Julius Harris, Cynthia Belgrave, Anna Berger",\N,"United States","English, Spanish","5000000","357","1 hour 44 minutes","India"
"A Very Long Engagement","7.6","Jean-Pierre Jeunet","Sébastien Japrisot, Jean-Pierre Jeunet, Guillaume Laurant","76","Audrey Tautou, Gaspard Ulliel, Jodie Foster, Dominique Pinon, Chantal Neuwirth, André Dussollier, Ticky Holgado, Marion Cotillard, Dominique Bettenfeld, Jean-Pierre Darroussin, Clovis Cornillac, Jean-Pierre Becker, Denis Lavant, Jérôme Kircher, Albert Dupontel, Jean-Paul Rouve, Elina Löwensohn, Julie Depardieu","2004-10-27","France, United States","French, German, Corsican","56600000","69424389","2 hours 13 minutes","France"
"Short Cuts","7.6","Robert Altman","Raymond Carver, Robert Altman, Frank Barhydt","81","Andie MacDowell, Julianne Moore, Tim Robbins, Bruce Davison, Jack Lemmon, Zane Cassidy, Matthew Modine, Anne Archer, Fred Ward, Jennifer Jason Leigh, Chris Penn, Joseph C. Hopkins, Josette Maccario, Lili Taylor, Robert Downey Jr., Madeleine Stowe, Cassie Friel, Dustin Friel","1993-10-01","United States","English","12000000","6110979","3 hours 8 minutes","Italy"
